epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,805.353,1.09151,0.67859,1.13405,0.92498,0.76712,0.83626,0.60904,0.88297,0.46558,1.01609,8.0695e-06,8.0695e-06,8.0695e-06
41,825.35,1.08783,0.67671,1.13348,0.92289,0.7719,0.83631,0.60791,0.88486,0.4667,1.01635,8.02e-06,8.02e-06,8.02e-06
42,845.074,1.08727,0.67957,1.13057,0.92339,0.76763,0.8355,0.60813,0.8847,0.46652,1.01655,7.9705e-06,7.9705e-06,7.9705e-06
43,864.991,1.0917,0.67527,1.13669,0.92709,0.76688,0.83614,0.60914,0.88228,0.46547,1.01554,7.921e-06,7.921e-06,7.921e-06
44,884.787,1.08102,0.67554,1.13171,0.90533,0.78193,0.83662,0.60943,0.8816,0.46399,1.01511,7.8715e-06,7.8715e-06,7.8715e-06
45,904.775,1.08336,0.68232,1.1275,0.90901,0.78116,0.83699,0.60905,0.88197,0.46472,1.01476,7.822e-06,7.822e-06,7.822e-06
46,924.503,1.07942,0.67522,1.12603,0.92992,0.76062,0.83682,0.60899,0.88212,0.46623,1.01489,7.7725e-06,7.7725e-06,7.7725e-06
47,944.134,1.07962,0.67413,1.12843,0.92892,0.76055,0.83493,0.60918,0.88164,0.46425,1.01472,7.723e-06,7.723e-06,7.723e-06
48,964.118,1.08863,0.67608,1.13275,0.92805,0.76202,0.83634,0.61038,0.88158,0.46411,1.0143,7.6735e-06,7.6735e-06,7.6735e-06
49,983.882,1.0869,0.68347,1.13149,0.92653,0.76396,0.83676,0.60905,0.8823,0.46431,1.01425,7.624e-06,7.624e-06,7.624e-06
50,1003.65,1.06865,0.66666,1.12113,0.9265,0.76043,0.83533,0.61025,0.88047,0.46383,1.01429,7.5745e-06,7.5745e-06,7.5745e-06
51,1023.47,1.07138,0.66262,1.12278,0.92364,0.76722,0.83537,0.61001,0.88219,0.46403,1.01563,7.525e-06,7.525e-06,7.525e-06
52,1043.07,1.07745,0.67546,1.12928,0.92597,0.76587,0.83693,0.61084,0.88221,0.46313,1.01523,7.4755e-06,7.4755e-06,7.4755e-06
53,1063.12,1.0829,0.67456,1.13263,0.91052,0.77764,0.8365,0.61084,0.88197,0.46331,1.01534,7.426e-06,7.426e-06,7.426e-06
54,1082.93,1.08369,0.6744,1.1349,0.9094,0.77743,0.83476,0.61067,0.88143,0.46229,1.01546,7.3765e-06,7.3765e-06,7.3765e-06
55,1102.82,1.07341,0.66485,1.12588,0.91222,0.776,0.83597,0.61161,0.88027,0.46153,1.01434,7.327e-06,7.327e-06,7.327e-06
56,1122.98,1.07479,0.67577,1.12614,0.90993,0.77403,0.83575,0.60987,0.88034,0.46123,1.01447,7.2775e-06,7.2775e-06,7.2775e-06
57,1142.9,1.07637,0.66955,1.12619,0.90779,0.77615,0.837,0.61063,0.87937,0.46168,1.01381,7.228e-06,7.228e-06,7.228e-06
58,1162.98,1.0802,0.67034,1.12755,0.90316,0.78266,0.83685,0.61003,0.87898,0.46194,1.01345,7.1785e-06,7.1785e-06,7.1785e-06
59,1183.08,1.07304,0.6653,1.12469,0.90218,0.78525,0.83714,0.61115,0.87998,0.46142,1.0146,7.129e-06,7.129e-06,7.129e-06
60,1202.97,1.06764,0.66276,1.1243,0.9054,0.78387,0.83795,0.61119,0.87846,0.46077,1.01403,7.0795e-06,7.0795e-06,7.0795e-06
61,1222.92,1.07677,0.67556,1.12563,0.91159,0.78458,0.83767,0.61158,0.87817,0.46047,1.01326,7.03e-06,7.03e-06,7.03e-06
62,1242.81,1.06176,0.65884,1.11993,0.91022,0.78516,0.83628,0.61212,0.87651,0.45897,1.01254,6.9805e-06,6.9805e-06,6.9805e-06
63,1262.48,1.07247,0.66805,1.1265,0.91365,0.78468,0.83784,0.61331,0.87762,0.45876,1.01276,6.931e-06,6.931e-06,6.931e-06
64,1282.45,1.07052,0.66285,1.12633,0.91287,0.78349,0.83813,0.61359,0.87789,0.46008,1.01245,6.8815e-06,6.8815e-06,6.8815e-06
65,1302.3,1.07588,0.67338,1.12714,0.90792,0.7827,0.83795,0.6117,0.87771,0.46025,1.01265,6.832e-06,6.832e-06,6.832e-06
66,1322.07,1.07064,0.66408,1.12061,0.90952,0.78434,0.8385,0.61225,0.87825,0.45958,1.01261,6.7825e-06,6.7825e-06,6.7825e-06
67,1341.99,1.07021,0.66517,1.11943,0.9085,0.78065,0.83775,0.61238,0.87669,0.45899,1.01168,6.733e-06,6.733e-06,6.733e-06
68,1361.6,1.07516,0.66865,1.12602,0.91097,0.78136,0.83756,0.61358,0.87567,0.4584,1.01143,6.6835e-06,6.6835e-06,6.6835e-06
69,1381.52,1.05991,0.65642,1.11679,0.90813,0.78535,0.83774,0.61301,0.87589,0.45834,1.01168,6.634e-06,6.634e-06,6.634e-06
70,1401.31,1.06274,0.65761,1.11632,0.91526,0.7829,0.83691,0.6129,0.87447,0.4578,1.01148,6.5845e-06,6.5845e-06,6.5845e-06
71,1420.79,1.06934,0.66089,1.1218,0.91367,0.78379,0.83695,0.61268,0.87438,0.45685,1.01124,6.535e-06,6.535e-06,6.535e-06
72,1440.6,1.06574,0.66222,1.12296,0.90664,0.78339,0.83769,0.61361,0.87418,0.45763,1.01051,6.4855e-06,6.4855e-06,6.4855e-06
73,1460.32,1.07272,0.66471,1.12827,0.91003,0.78378,0.83715,0.61308,0.8738,0.45745,1.01071,6.436e-06,6.436e-06,6.436e-06
74,1479.99,1.06233,0.66201,1.12181,0.91571,0.781,0.83705,0.61434,0.87334,0.45721,1.01047,6.3865e-06,6.3865e-06,6.3865e-06
75,1499.61,1.06669,0.66276,1.12193,0.91272,0.785,0.83709,0.61428,0.87236,0.45704,1.01004,6.337e-06,6.337e-06,6.337e-06
76,1519.24,1.06829,0.6636,1.11884,0.91047,0.78561,0.83749,0.61377,0.87277,0.45642,1.01029,6.2875e-06,6.2875e-06,6.2875e-06
77,1539.1,1.06133,0.66619,1.11803,0.91328,0.78617,0.83801,0.61419,0.8729,0.45742,1.01053,6.238e-06,6.238e-06,6.238e-06
78,1558.79,1.06799,0.66594,1.1203,0.91859,0.78153,0.83855,0.61373,0.87376,0.4575,1.01079,6.1885e-06,6.1885e-06,6.1885e-06
79,1578.58,1.05035,0.65172,1.11284,0.91057,0.78431,0.83877,0.61392,0.87477,0.45707,1.01115,6.139e-06,6.139e-06,6.139e-06
80,1598.56,1.05769,0.66087,1.11926,0.90659,0.78517,0.83848,0.61329,0.8735,0.45725,1.01062,6.0895e-06,6.0895e-06,6.0895e-06
81,1618.15,1.0568,0.66223,1.11759,0.90926,0.78543,0.83929,0.6138,0.87215,0.45735,1.00989,6.04e-06,6.04e-06,6.04e-06
82,1637.94,1.07282,0.66581,1.12226,0.90591,0.78688,0.83844,0.61457,0.87163,0.45665,1.00978,5.9905e-06,5.9905e-06,5.9905e-06
83,1657.92,1.06083,0.66431,1.11941,0.91022,0.78301,0.83778,0.6146,0.8722,0.45686,1.00992,5.941e-06,5.941e-06,5.941e-06
84,1677.5,1.05902,0.6612,1.11821,0.9115,0.78293,0.83772,0.61449,0.87263,0.45645,1.01016,5.8915e-06,5.8915e-06,5.8915e-06
85,1697.29,1.05749,0.65422,1.11585,0.91193,0.78404,0.83753,0.61425,0.87386,0.45696,1.01008,5.842e-06,5.842e-06,5.842e-06
86,1716.75,1.0567,0.65992,1.11724,0.91262,0.78356,0.83755,0.61471,0.87432,0.4568,1.01074,5.7925e-06,5.7925e-06,5.7925e-06
87,1736.64,1.06036,0.65656,1.11433,0.91431,0.78359,0.8385,0.61418,0.87399,0.4562,1.01096,5.743e-06,5.743e-06,5.743e-06
88,1756.59,1.05808,0.66443,1.12091,0.91014,0.78417,0.83942,0.61513,0.87292,0.45586,1.01052,5.6935e-06,5.6935e-06,5.6935e-06
89,1776.32,1.05526,0.66414,1.11948,0.90881,0.78396,0.83858,0.61463,0.87207,0.45644,1.00969,5.644e-06,5.644e-06,5.644e-06
90,1796.08,1.06154,0.65738,1.11699,0.90602,0.78284,0.8385,0.61455,0.87109,0.45563,1.00895,5.5945e-06,5.5945e-06,5.5945e-06
91,1815.92,1.05691,0.65722,1.11624,0.90636,0.78341,0.83856,0.6152,0.87055,0.45551,1.00905,5.545e-06,5.545e-06,5.545e-06
92,1835.98,1.05225,0.65747,1.11754,0.90738,0.78304,0.83826,0.61546,0.87046,0.45567,1.00859,5.4955e-06,5.4955e-06,5.4955e-06
93,1855.92,1.05561,0.66248,1.11604,0.90776,0.78246,0.83804,0.6148,0.87048,0.45599,1.00862,5.446e-06,5.446e-06,5.446e-06
94,1875.76,1.04896,0.65718,1.1139,0.92496,0.77123,0.83852,0.61521,0.86946,0.45568,1.00819,5.3965e-06,5.3965e-06,5.3965e-06
95,1895.68,1.04588,0.64812,1.11417,0.91098,0.78342,0.83826,0.61523,0.86963,0.45551,1.00849,5.347e-06,5.347e-06,5.347e-06
96,1915.55,1.05217,0.65731,1.11671,0.90891,0.7841,0.83912,0.61521,0.87008,0.4555,1.00871,5.2975e-06,5.2975e-06,5.2975e-06
97,1935.14,1.05161,0.65253,1.11062,0.92883,0.76981,0.83919,0.61596,0.86908,0.45557,1.00797,5.248e-06,5.248e-06,5.248e-06
98,1955.07,1.05294,0.65774,1.11495,0.91519,0.78018,0.83887,0.61506,0.86874,0.45532,1.00801,5.1985e-06,5.1985e-06,5.1985e-06
99,1974.71,1.04835,0.65199,1.10996,0.91183,0.78166,0.8388,0.61547,0.86924,0.4554,1.00838,5.149e-06,5.149e-06,5.149e-06
100,1994.54,1.0559,0.65818,1.11679,0.92896,0.77326,0.83888,0.61621,0.86962,0.45492,1.00883,5.0995e-06,5.0995e-06,5.0995e-06
101,2014.39,1.05761,0.66335,1.11762,0.92816,0.77306,0.83888,0.61598,0.87043,0.45555,1.00917,5.05e-06,5.05e-06,5.05e-06
102,2033.83,1.0465,0.65234,1.11134,0.91385,0.78355,0.83838,0.61685,0.87021,0.45485,1.00912,5.0005e-06,5.0005e-06,5.0005e-06
103,2053.75,1.0477,0.6525,1.11642,0.92732,0.7741,0.83847,0.61686,0.86947,0.45489,1.0091,4.951e-06,4.951e-06,4.951e-06
104,2073.22,1.04116,0.64723,1.11049,0.90977,0.783,0.8383,0.61721,0.86886,0.45447,1.00856,4.9015e-06,4.9015e-06,4.9015e-06
105,2093.26,1.06427,0.66606,1.12105,0.91943,0.77629,0.83856,0.61681,0.86859,0.45467,1.00837,4.852e-06,4.852e-06,4.852e-06
