epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.084,1.90582,3.39462,1.75988,0.61807,0.2744,0.33927,0.145,1.88092,2.5128,1.67252,0.00330275,0.00330275,0.00330275
2,98.8814,1.71394,2.02654,1.5471,0.4483,0.41118,0.3599,0.15483,1.86861,2.08223,1.68672,0.00660324,0.00660324,0.00660324
3,144.972,1.7238,1.86819,1.527,0.31526,0.33148,0.26298,0.11122,2.03297,4.11481,1.93704,0.00987072,0.00987072,0.00987072
4,190.761,1.76075,1.84257,1.56841,0.5041,0.47097,0.44488,0.19425,1.8775,2.62467,1.68822,0.0098515,0.0098515,0.0098515
5,236.223,1.73131,1.72934,1.53881,0.58217,0.48894,0.48685,0.21976,1.80122,1.63228,1.63553,0.009802,0.009802,0.009802
6,281.672,1.69523,1.63737,1.5223,0.60216,0.46433,0.46992,0.22653,1.83876,1.67089,1.65262,0.0097525,0.0097525,0.0097525
7,327.366,1.67067,1.5709,1.50732,0.66652,0.51752,0.55768,0.27415,1.71008,1.48278,1.57063,0.009703,0.009703,0.009703
8,372.39,1.64123,1.48924,1.49992,0.71485,0.52728,0.58647,0.29084,1.73519,1.37129,1.5765,0.0096535,0.0096535,0.0096535
9,417.461,1.62737,1.45155,1.48599,0.71815,0.50909,0.57419,0.29395,1.6953,1.37544,1.55677,0.009604,0.009604,0.009604
10,462.78,1.59421,1.3964,1.48273,0.69502,0.54968,0.58468,0.29376,1.72018,1.37193,1.61559,0.0095545,0.0095545,0.0095545
11,508.139,1.59612,1.36148,1.4743,0.75125,0.53846,0.60185,0.30746,1.71424,1.26685,1.54483,0.009505,0.009505,0.009505
12,553.107,1.57673,1.33397,1.46482,0.72079,0.57565,0.61986,0.31764,1.67329,1.20753,1.54555,0.0094555,0.0094555,0.0094555
13,598.12,1.55512,1.30865,1.4525,0.78841,0.56218,0.63367,0.33477,1.67292,1.18262,1.53245,0.009406,0.009406,0.009406
14,643.424,1.55252,1.28647,1.44607,0.78656,0.56996,0.64288,0.33899,1.66331,1.19562,1.51717,0.0093565,0.0093565,0.0093565
15,688.796,1.54384,1.26421,1.44971,0.78187,0.59677,0.6588,0.36326,1.58793,1.14427,1.50053,0.009307,0.009307,0.009307
16,733.96,1.52258,1.24767,1.4372,0.7697,0.59209,0.65623,0.35485,1.59627,1.1315,1.49487,0.0092575,0.0092575,0.0092575
17,779.281,1.50305,1.21422,1.41426,0.78039,0.60008,0.66428,0.35937,1.5984,1.10236,1.48756,0.009208,0.009208,0.009208
18,824.503,1.4979,1.20739,1.41701,0.78998,0.59958,0.65832,0.35877,1.60247,1.12156,1.48105,0.0091585,0.0091585,0.0091585
